        t         u*           w*            Qo          Alf          zi
    0.10186E+02  0.18263E+00  0.47350E+00  0.11906E+00  0.27184E+03  0.27289E-02  0.77125E+01
    0.10686E+02  0.18591E+00  0.49965E+00  0.13966E+00  0.37944E+03  0.28802E-02  0.84878E+01
    0.11186E+02  0.19222E+00  0.59949E+00  0.15646E+00  0.64698E+03  0.30866E-02  0.90034E+01
    0.11686E+02  0.20200E+00  0.66939E+00  0.16897E+00  0.90309E+03  0.33656E-02  0.93485E+01
    0.12186E+02  0.21511E+00  0.62771E+00  0.17688E+00  0.96537E+03  0.37288E-02  0.98329E+01
    0.12686E+02  0.23072E+00  0.59994E+00  0.17996E+00  0.10320E+04  0.41723E-02  0.10341E+02
    0.13185E+02  0.24712E+00  0.58527E+00  0.17814E+00  0.11031E+04  0.46625E-02  0.10834E+02
    0.13685E+02  0.26201E+00  0.57976E+00  0.17146E+00  0.11792E+04  0.51283E-02  0.11279E+02
    0.14185E+02  0.27278E+00  0.57281E+00  0.16012E+00  0.11792E+04  0.54694E-02  0.11663E+02
    0.14684E+02  0.27719E+00  0.57869E+00  0.14441E+00  0.11792E+04  0.55851E-02  0.11943E+02
    0.15184E+02  0.27384E+00  0.58382E+00  0.12476E+00  0.12606E+04  0.54119E-02  0.12142E+02
    0.15684E+02  0.26260E+00  0.59246E+00  0.10172E+00  0.12606E+04  0.49533E-02  0.12259E+02
    0.16184E+02  0.24462E+00  0.59377E+00  0.75904E-01  0.12606E+04  0.42790E-02  0.12312E+02
    0.16683E+02  0.22205E+00  0.57863E+00  0.48020E-01  0.12606E+04  0.34966E-02  0.12318E+02
    0.17183E+02  0.19753E+00  0.51834E+00  0.18828E-01  0.12606E+04  0.27099E-02  0.12263E+02
    0.17683E+02  0.17355E+00  0.30983E+00 -0.56821E-02  0.17629E+04  0.20361E-02  0.11994E+02
    0.18183E+02  0.15207E+00  0.18761E+00 -0.91292E-02  0.15449E+04  0.15632E-02  0.11427E+02
    0.18682E+02  0.13422E+00  0.96150E-01 -0.99250E-02  0.13637E+04  0.12178E-02  0.97194E+01
    0.19182E+02  0.12035E+00  0.47927E-01 -0.10000E-01  0.12227E+04  0.97920E-03  0.49336E+01
    0.19682E+02  0.11022E+00  0.45348E-01 -0.99835E-02  0.11195E+04  0.82116E-03  0.00000E+00
    0.20181E+02  0.10319E+00  0.63095E-01 -0.10000E-01  0.10479E+04  0.71981E-03  0.00000E+00
    0.20681E+02  0.98549E-01  0.77335E-01 -0.10000E-01  0.10003E+04  0.65653E-03  0.00000E+00
    0.21181E+02  0.95612E-01  0.89588E-01 -0.10000E-01  0.97035E+03  0.61798E-03  0.00000E+00
    0.21681E+02  0.93830E-01  0.99234E-01 -0.10000E-01  0.95221E+03  0.59516E-03  0.00000E+00
    0.22180E+02  0.92806E-01  0.10602E+00 -0.10000E-01  0.94192E+03  0.58223E-03  0.00000E+00
    0.22680E+02  0.92273E-01  0.11112E+00 -0.10000E-01  0.93660E+03  0.57557E-03  0.00000E+00
    0.23180E+02  0.92066E-01  0.11441E+00 -0.10000E-01  0.93465E+03  0.57299E-03  0.00000E+00
    0.23680E+02  0.92085E-01  0.11459E+00 -0.10000E-01  0.93492E+03  0.57322E-03  0.00000E+00
    0.17926E+00  0.92272E-01  0.11318E+00 -0.10000E-01  0.93689E+03  0.57555E-03  0.00000E+00
